name,mean_pred,std_pred,mean_true_cate,std_true_cate,bias,rmse,mae,total_time,backend,sign_precision,pearson_correlation,target,case_id,case_slug,case_title,setting_id,n,p_x,p_w,p_z,horizon,horizon_label,horizon_order,horizon_description,horizon_rule,horizon_quantile,gpu_requested,gpu_enabled
Final Conditional,0.1340816401155609,0.055382267183265776,0.15226568796733847,0.06275385282350203,-0.018184047851777543,0.058699351244936304,0.046607001424258665,9.651565074920654,ConditionalCensoringFinalCensoredModel,1.0,0.5596809911737931,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S08,2000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional Oracle,0.146537819404436,0.043545713973086625,0.15226568796733847,0.06275385282350203,-0.0057278685629024596,0.04483899658193869,0.03711683797947063,0.5343742370605469,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.705639604341358,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S08,2000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Conditional,0.11667408614304053,0.03727856732919173,0.15226568796733847,0.06275385282350203,-0.035591601824297894,0.07332151596294376,0.060242030463357146,1.380164384841919,RevisedBaselineCensoredSurvivalForest,0.9995,0.26042334091942637,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S08,2000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional,0.07391234830989725,0.044149711166976954,0.15473759839306586,0.06299088190861313,-0.08082525008316864,0.10836920910650817,0.08747876161247886,12.099626541137695,ConditionalCensoringFinalCensoredModel,0.9405,0.12691052607831346,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S09,2000,10,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional Oracle,0.12614468845316107,0.03294655132894105,0.15473759839306586,0.06299088190861313,-0.028592909939904803,0.06356412915431674,0.051342610307940205,0.39784765243530273,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.44100947365421167,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S09,2000,10,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Conditional,0.06956208207735712,0.0402314924805642,0.15473759839306586,0.06299088190861313,-0.08517551631570876,0.11663121279637491,0.09767154135734739,1.4790031909942627,RevisedBaselineCensoredSurvivalForest,0.955,-0.1502529124804606,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S09,2000,10,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional,0.08541817111314909,0.03217438655469827,0.11657278561394915,0.07502923377482258,-0.03115461450080006,0.06899342098859304,0.05458085850170872,16.616201400756836,ConditionalCensoringFinalCensoredModel,1.0,0.5954995086363292,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S10,2000,20,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional Oracle,0.11651633957902496,0.10000680928111993,0.11657278561394915,0.07502923377482258,-5.644603492418554e-05,0.04307921359251015,0.03718078843434873,0.4601285457611084,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.9179085113122393,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S10,2000,20,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Conditional,0.09310412840533894,0.0439767648392525,0.11657278561394915,0.07502923377482258,-0.023468657208610216,0.08780190381946548,0.07132221910399505,1.9691498279571533,RevisedBaselineCensoredSurvivalForest,0.974,0.061363850558204126,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S10,2000,20,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional,0.039115412723721474,0.026794961295270762,0.11587481147880746,0.07655076838754328,-0.076759398755086,0.10923048620847582,0.08694306734432132,25.065841674804688,ConditionalCensoringFinalCensoredModel,0.9285,0.13131407705066553,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S11,2000,40,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
