target,setting_id,case_id,case_slug,model,train_seconds,train_n,test_n
survival.probability,S02,9,nonlinear_nonlinear_informative_strong_beneficial_large,Final Conditional Oracle,0.3485391139984131,1000,20000
survival.probability,S02,9,nonlinear_nonlinear_informative_strong_beneficial_large,Final Conditional,5.5218706130981445,1000,20000
survival.probability,S02,9,nonlinear_nonlinear_informative_strong_beneficial_large,Revised Conditional,0.921811580657959,1000,20000
RMST,S02,10,nonlinear_nonlinear_informative_weak_harmful_small,Final Conditional Oracle,0.25149059295654297,1000,20000
RMST,S02,10,nonlinear_nonlinear_informative_weak_harmful_small,Final Conditional,6.216134309768677,1000,20000
RMST,S02,10,nonlinear_nonlinear_informative_weak_harmful_small,Revised Conditional,0.9418811798095703,1000,20000
survival.probability,S02,10,nonlinear_nonlinear_informative_weak_harmful_small,Final Conditional Oracle,0.24628233909606934,1000,20000
survival.probability,S02,10,nonlinear_nonlinear_informative_weak_harmful_small,Final Conditional,5.59172248840332,1000,20000
survival.probability,S02,10,nonlinear_nonlinear_informative_weak_harmful_small,Revised Conditional,1.0370616912841797,1000,20000
RMST,S02,11,nonlinear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.2554798126220703,1000,20000
RMST,S02,11,nonlinear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional,6.120147705078125,1000,20000
RMST,S02,11,nonlinear_nonlinear_weakproxy_strong_harmful_moderate,Revised Conditional,0.9064176082611084,1000,20000
survival.probability,S02,11,nonlinear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.2553575038909912,1000,20000
survival.probability,S02,11,nonlinear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional,5.629685401916504,1000,20000
survival.probability,S02,11,nonlinear_nonlinear_weakproxy_strong_harmful_moderate,Revised Conditional,0.898735523223877,1000,20000
RMST,S02,12,nonlinear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional Oracle,0.25235843658447266,1000,20000
RMST,S02,12,nonlinear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional,6.26149320602417,1000,20000
RMST,S02,12,nonlinear_nonlinear_weakproxy_weak_nearnull_harmful,Revised Conditional,0.9353504180908203,1000,20000
survival.probability,S02,12,nonlinear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional Oracle,0.25401949882507324,1000,20000
survival.probability,S02,12,nonlinear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional,5.559215545654297,1000,20000
survival.probability,S02,12,nonlinear_nonlinear_weakproxy_weak_nearnull_harmful,Revised Conditional,1.0250060558319092,1000,20000
RMST,S03,1,linear_linear_informative_strong_beneficial_large,Final Conditional Oracle,0.3162515163421631,2000,20000
RMST,S03,1,linear_linear_informative_strong_beneficial_large,Final Conditional,9.223974227905273,2000,20000
RMST,S03,1,linear_linear_informative_strong_beneficial_large,Revised Conditional,1.374903678894043,2000,20000
survival.probability,S03,1,linear_linear_informative_strong_beneficial_large,Final Conditional Oracle,0.30437588691711426,2000,20000
survival.probability,S03,1,linear_linear_informative_strong_beneficial_large,Final Conditional,8.022778511047363,2000,20000
survival.probability,S03,1,linear_linear_informative_strong_beneficial_large,Revised Conditional,1.3550300598144531,2000,20000
RMST,S03,2,linear_linear_informative_weak_harmful_small,Final Conditional Oracle,0.33501482009887695,2000,20000
RMST,S03,2,linear_linear_informative_weak_harmful_small,Final Conditional,9.422766208648682,2000,20000
RMST,S03,2,linear_linear_informative_weak_harmful_small,Revised Conditional,1.4661309719085693,2000,20000
survival.probability,S03,2,linear_linear_informative_weak_harmful_small,Final Conditional Oracle,0.3091719150543213,2000,20000
survival.probability,S03,2,linear_linear_informative_weak_harmful_small,Final Conditional,7.873284101486206,2000,20000
survival.probability,S03,2,linear_linear_informative_weak_harmful_small,Revised Conditional,1.3270628452301025,2000,20000
RMST,S03,3,linear_linear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.32616662979125977,2000,20000
RMST,S03,3,linear_linear_weakproxy_strong_harmful_moderate,Final Conditional,9.449515104293823,2000,20000
RMST,S03,3,linear_linear_weakproxy_strong_harmful_moderate,Revised Conditional,1.360741376876831,2000,20000
survival.probability,S03,3,linear_linear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.29027724266052246,2000,20000
survival.probability,S03,3,linear_linear_weakproxy_strong_harmful_moderate,Final Conditional,8.050653219223022,2000,20000
survival.probability,S03,3,linear_linear_weakproxy_strong_harmful_moderate,Revised Conditional,1.4175772666931152,2000,20000
RMST,S03,4,linear_linear_weakproxy_weak_nearnull_harmful,Final Conditional Oracle,0.31305432319641113,2000,20000
RMST,S03,4,linear_linear_weakproxy_weak_nearnull_harmful,Final Conditional,9.403498649597168,2000,20000
RMST,S03,4,linear_linear_weakproxy_weak_nearnull_harmful,Revised Conditional,1.3159615993499756,2000,20000
survival.probability,S03,4,linear_linear_weakproxy_weak_nearnull_harmful,Final Conditional Oracle,0.3226158618927002,2000,20000
survival.probability,S03,4,linear_linear_weakproxy_weak_nearnull_harmful,Final Conditional,8.181666135787964,2000,20000
survival.probability,S03,4,linear_linear_weakproxy_weak_nearnull_harmful,Revised Conditional,1.33652925491333,2000,20000
RMST,S03,5,linear_nonlinear_informative_strong_beneficial_large,Final Conditional Oracle,0.31667041778564453,2000,20000
RMST,S03,5,linear_nonlinear_informative_strong_beneficial_large,Final Conditional,9.367538690567017,2000,20000
RMST,S03,5,linear_nonlinear_informative_strong_beneficial_large,Revised Conditional,1.5499567985534668,2000,20000
survival.probability,S03,5,linear_nonlinear_informative_strong_beneficial_large,Final Conditional Oracle,0.31853175163269043,2000,20000
survival.probability,S03,5,linear_nonlinear_informative_strong_beneficial_large,Final Conditional,8.129005670547485,2000,20000
survival.probability,S03,5,linear_nonlinear_informative_strong_beneficial_large,Revised Conditional,1.3819983005523682,2000,20000
RMST,S03,6,linear_nonlinear_informative_weak_harmful_small,Final Conditional Oracle,0.32080531120300293,2000,20000
RMST,S03,6,linear_nonlinear_informative_weak_harmful_small,Final Conditional,9.611469030380249,2000,20000
RMST,S03,6,linear_nonlinear_informative_weak_harmful_small,Revised Conditional,1.34468674659729,2000,20000
survival.probability,S03,6,linear_nonlinear_informative_weak_harmful_small,Final Conditional Oracle,0.312180757522583,2000,20000
survival.probability,S03,6,linear_nonlinear_informative_weak_harmful_small,Final Conditional,8.225133419036865,2000,20000
survival.probability,S03,6,linear_nonlinear_informative_weak_harmful_small,Revised Conditional,1.3372859954833984,2000,20000
RMST,S03,7,linear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.3130488395690918,2000,20000
RMST,S03,7,linear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional,9.346993923187256,2000,20000
RMST,S03,7,linear_nonlinear_weakproxy_strong_harmful_moderate,Revised Conditional,1.4401581287384033,2000,20000
survival.probability,S03,7,linear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.30669116973876953,2000,20000
survival.probability,S03,7,linear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional,8.315167903900146,2000,20000
survival.probability,S03,7,linear_nonlinear_weakproxy_strong_harmful_moderate,Revised Conditional,1.4239709377288818,2000,20000
RMST,S03,8,linear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional Oracle,0.3102705478668213,2000,20000
RMST,S03,8,linear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional,9.591897010803223,2000,20000
RMST,S03,8,linear_nonlinear_weakproxy_weak_nearnull_harmful,Revised Conditional,1.3467528820037842,2000,20000
survival.probability,S03,8,linear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional Oracle,0.31024646759033203,2000,20000
survival.probability,S03,8,linear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional,8.29638385772705,2000,20000
survival.probability,S03,8,linear_nonlinear_weakproxy_weak_nearnull_harmful,Revised Conditional,1.4739153385162354,2000,20000
RMST,S03,9,nonlinear_nonlinear_informative_strong_beneficial_large,Final Conditional Oracle,0.31735873222351074,2000,20000
RMST,S03,9,nonlinear_nonlinear_informative_strong_beneficial_large,Final Conditional,9.463854312896729,2000,20000
RMST,S03,9,nonlinear_nonlinear_informative_strong_beneficial_large,Revised Conditional,1.294321060180664,2000,20000
survival.probability,S03,9,nonlinear_nonlinear_informative_strong_beneficial_large,Final Conditional Oracle,0.30904436111450195,2000,20000
survival.probability,S03,9,nonlinear_nonlinear_informative_strong_beneficial_large,Final Conditional,8.165665864944458,2000,20000
survival.probability,S03,9,nonlinear_nonlinear_informative_strong_beneficial_large,Revised Conditional,1.2743608951568604,2000,20000
RMST,S03,10,nonlinear_nonlinear_informative_weak_harmful_small,Final Conditional Oracle,0.31246399879455566,2000,20000
RMST,S03,10,nonlinear_nonlinear_informative_weak_harmful_small,Final Conditional,9.574553966522217,2000,20000
RMST,S03,10,nonlinear_nonlinear_informative_weak_harmful_small,Revised Conditional,1.3082730770111084,2000,20000
survival.probability,S03,10,nonlinear_nonlinear_informative_weak_harmful_small,Final Conditional Oracle,0.30933499336242676,2000,20000
survival.probability,S03,10,nonlinear_nonlinear_informative_weak_harmful_small,Final Conditional,8.270953178405762,2000,20000
survival.probability,S03,10,nonlinear_nonlinear_informative_weak_harmful_small,Revised Conditional,1.2723913192749023,2000,20000
RMST,S03,11,nonlinear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.4705624580383301,2000,20000
RMST,S03,11,nonlinear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional,9.538370609283447,2000,20000
RMST,S03,11,nonlinear_nonlinear_weakproxy_strong_harmful_moderate,Revised Conditional,1.307598352432251,2000,20000
survival.probability,S03,11,nonlinear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.30124568939208984,2000,20000
survival.probability,S03,11,nonlinear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional,8.61144471168518,2000,20000
survival.probability,S03,11,nonlinear_nonlinear_weakproxy_strong_harmful_moderate,Revised Conditional,1.2828891277313232,2000,20000
RMST,S03,12,nonlinear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional Oracle,0.33094215393066406,2000,20000
RMST,S03,12,nonlinear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional,9.594357967376709,2000,20000
RMST,S03,12,nonlinear_nonlinear_weakproxy_weak_nearnull_harmful,Revised Conditional,1.4233620166778564,2000,20000
survival.probability,S03,12,nonlinear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional Oracle,0.3112809658050537,2000,20000
survival.probability,S03,12,nonlinear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional,8.333172798156738,2000,20000
survival.probability,S03,12,nonlinear_nonlinear_weakproxy_weak_nearnull_harmful,Revised Conditional,1.2801311016082764,2000,20000
RMST,S04,1,linear_linear_informative_strong_beneficial_large,Final Conditional Oracle,0.4244968891143799,4000,20000
RMST,S04,1,linear_linear_informative_strong_beneficial_large,Final Conditional,16.754308938980103,4000,20000
RMST,S04,1,linear_linear_informative_strong_beneficial_large,Revised Conditional,2.1459178924560547,4000,20000
survival.probability,S04,1,linear_linear_informative_strong_beneficial_large,Final Conditional Oracle,0.40450429916381836,4000,20000
survival.probability,S04,1,linear_linear_informative_strong_beneficial_large,Final Conditional,13.573800086975098,4000,20000
survival.probability,S04,1,linear_linear_informative_strong_beneficial_large,Revised Conditional,2.2448699474334717,4000,20000
RMST,S04,2,linear_linear_informative_weak_harmful_small,Final Conditional Oracle,0.447986364364624,4000,20000
RMST,S04,2,linear_linear_informative_weak_harmful_small,Final Conditional,16.597870588302612,4000,20000
RMST,S04,2,linear_linear_informative_weak_harmful_small,Revised Conditional,2.1218109130859375,4000,20000
survival.probability,S04,2,linear_linear_informative_weak_harmful_small,Final Conditional Oracle,0.4054555892944336,4000,20000
survival.probability,S04,2,linear_linear_informative_weak_harmful_small,Final Conditional,13.944686889648438,4000,20000
survival.probability,S04,2,linear_linear_informative_weak_harmful_small,Revised Conditional,2.1456851959228516,4000,20000
RMST,S04,3,linear_linear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.44695615768432617,4000,20000
RMST,S04,3,linear_linear_weakproxy_strong_harmful_moderate,Final Conditional,16.80025863647461,4000,20000
RMST,S04,3,linear_linear_weakproxy_strong_harmful_moderate,Revised Conditional,2.2870309352874756,4000,20000
survival.probability,S04,3,linear_linear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.47190070152282715,4000,20000
survival.probability,S04,3,linear_linear_weakproxy_strong_harmful_moderate,Final Conditional,14.453611373901367,4000,20000
survival.probability,S04,3,linear_linear_weakproxy_strong_harmful_moderate,Revised Conditional,2.1185977458953857,4000,20000
RMST,S04,4,linear_linear_weakproxy_weak_nearnull_harmful,Final Conditional Oracle,0.6007931232452393,4000,20000
RMST,S04,4,linear_linear_weakproxy_weak_nearnull_harmful,Final Conditional,16.824523210525513,4000,20000
RMST,S04,4,linear_linear_weakproxy_weak_nearnull_harmful,Revised Conditional,2.1350409984588623,4000,20000
survival.probability,S04,4,linear_linear_weakproxy_weak_nearnull_harmful,Final Conditional Oracle,0.4155080318450928,4000,20000
survival.probability,S04,4,linear_linear_weakproxy_weak_nearnull_harmful,Final Conditional,14.284318208694458,4000,20000
survival.probability,S04,4,linear_linear_weakproxy_weak_nearnull_harmful,Revised Conditional,2.113809823989868,4000,20000
RMST,S04,5,linear_nonlinear_informative_strong_beneficial_large,Final Conditional Oracle,0.472517728805542,4000,20000
RMST,S04,5,linear_nonlinear_informative_strong_beneficial_large,Final Conditional,16.774543285369873,4000,20000
RMST,S04,5,linear_nonlinear_informative_strong_beneficial_large,Revised Conditional,2.084778070449829,4000,20000
survival.probability,S04,5,linear_nonlinear_informative_strong_beneficial_large,Final Conditional Oracle,0.5569446086883545,4000,20000
