name,mean_pred,std_pred,mean_true_cate,std_true_cate,bias,rmse,mae,total_time,backend,sign_precision,pearson_correlation,target,case_id,case_slug,case_title,setting_id,n,p_x,p_w,p_z,horizon,source_file
Final Conditional,0.1266877613372029,0.0276822067326318,0.1377601460832398,0.0651692011525204,-0.0110723847460368,0.0547144271409927,0.0467229066674767,10.556087493896484,ConditionalCensoringFinalCensoredModel,1.0,0.5937433752648721,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S12,2000,5,2,2,0.3136160221880097,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.2609669223667062,0.149576962326075,0.2195529142333098,0.144301338379216,0.0414140081333964,0.0786135564186212,0.0587431773718458,12.162416458129885,ConditionalCensoringFinalCensoredModel,1.0,0.8972130528285692,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S13,2000,5,3,3,4.255628577261473,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.1460680270397419,0.0246176182413345,0.1461164568958477,0.0588644985117651,-4.842985610580331e-05,0.055653422684971,0.0466427442639813,11.587915897369385,ConditionalCensoringFinalCensoredModel,1.0,0.3359853289492745,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S13,2000,5,3,3,0.3095921592423794,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.2656022730131696,0.218919785941358,0.2261493895725173,0.1588069264850345,0.0394528834406522,0.1050953794357886,0.0718739326988109,14.979828357696531,ConditionalCensoringFinalCensoredModel,1.0,0.9155071542147664,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S14,2000,5,5,5,4.055039028821617,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.1502094921853467,0.0470558793842861,0.1386350608563233,0.0657842678636585,0.0115744313290234,0.0504741244032782,0.0393551590812244,14.00487756729126,ConditionalCensoringFinalCensoredModel,1.0,0.6667916547980808,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S14,2000,5,5,5,0.3270060452624015,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.2289762444626483,0.1609470366143308,0.2331192528084237,0.1804039777965399,-0.0041430083457753,0.0734138096303587,0.0564722205397381,21.024153232574463,ConditionalCensoringFinalCensoredModel,1.0,0.9140043595014375,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S15,2000,5,10,10,5.6053616381369675,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.1425316410415732,0.0367955852903493,0.1389649449211283,0.0631279444698992,0.0035666961204449,0.0508015623605005,0.0399423519324865,19.864379405975345,ConditionalCensoringFinalCensoredModel,1.0,0.5964654005022603,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S15,2000,5,10,10,0.3094721376496598,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.1917126965187901,0.16536254944866,0.2351447340526538,0.1779059134137475,-0.0434320375338636,0.0861306075116376,0.0661074375299025,34.97544074058533,ConditionalCensoringFinalCensoredModel,1.0,0.90865073285875,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S16,2000,5,20,20,4.031987320085309,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.0814186594201723,0.0236130746001416,0.1235266249054644,0.0708196045154996,-0.0421079654852921,0.0816394734246302,0.0693261970750614,31.006016492843628,ConditionalCensoringFinalCensoredModel,1.0,0.2036367872359645,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S16,2000,5,20,20,0.3220102204940581,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.2752016851124022,0.2739391782364428,0.2425761890074966,0.1938225154678532,0.0326254961049055,0.1308086153368501,0.0793338145104065,13.480451345443726,ConditionalCensoringFinalCensoredModel,1.0,0.9093352866068368,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S17,2000,5,1,10,5.290064523071756,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
