name,mean_pred,std_pred,mean_true_cate,std_true_cate,bias,rmse,mae,total_time,backend,sign_precision,pearson_correlation,target,case_id,case_slug,case_title,setting_id,n,p_x,p_w,p_z,horizon,horizon_label,horizon_order,horizon_description,horizon_rule,horizon_quantile,gpu_requested,gpu_enabled
Final Marginal,0.13654456096000245,0.05727961877422984,0.15226568796733847,0.06275385282350203,-0.015721127007336008,0.05962285535483029,0.04664567983929763,9.025452613830566,FinalCensoredModel,1.0,0.5440605760215237,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S08,2000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal Oracle,0.146537819404436,0.043545713973086625,0.15226568796733847,0.06275385282350203,-0.005727868562902458,0.04483899658193869,0.03711683797947063,0.4128255844116211,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.7056396043413582,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S08,2000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Marginal,0.12889905980287542,0.04641244952646487,0.15226568796733847,0.06275385282350203,-0.023366628164463,0.07246462762758898,0.05848709737641248,1.0096421241760254,RevisedBaselineCensoredSurvivalForest,0.997,0.23811330188335603,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S08,2000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal,0.07584151670401394,0.04064402172390331,0.15473759839306586,0.06299088190861313,-0.07889608168905193,0.10247408004425106,0.0841370654260147,11.024858474731445,FinalCensoredModel,0.992,0.2623702983241375,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S09,2000,10,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal Oracle,0.12614468845316107,0.03294655132894105,0.15473759839306586,0.06299088190861313,-0.028592909939904803,0.06356412915431674,0.051342610307940205,0.6249680519104004,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.44100947365421156,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S09,2000,10,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Marginal,0.0780376822609668,0.03687146985027459,0.15473759839306586,0.06299088190861313,-0.07669991613209907,0.10443469618052961,0.08696484330030066,1.2109599113464355,RevisedBaselineCensoredSurvivalForest,0.9835,0.0653647319805665,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S09,2000,10,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal,0.08211866369805443,0.037983982514948736,0.11657278561394915,0.07502923377482258,-0.03445412191589472,0.07096237346232062,0.05604074419092756,15.448864698410034,FinalCensoredModel,0.9885,0.5655613566428426,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S10,2000,20,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal Oracle,0.11651633957902496,0.10000680928111992,0.11657278561394915,0.07502923377482258,-5.6446034924185425e-05,0.04307921359251015,0.03718078843434873,0.5502188205718994,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.9179085113122393,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S10,2000,20,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Marginal,0.09989333909725255,0.018665385127823026,0.11657278561394915,0.07502923377482258,-0.0166794465166966,0.07710904046867005,0.06547273621903316,1.2923438549041748,RevisedBaselineCensoredSurvivalForest,1.0,0.1107438458544526,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S10,2000,20,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal,0.04245726211900733,0.03051916015557334,0.11587481147880746,0.07655076838754328,-0.07341754935980012,0.10841895922345189,0.08547802744139817,24.344741106033325,FinalCensoredModel,0.93,0.09136486719351425,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S11,2000,40,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal Oracle,0.09703941041949886,0.02564047821954558,0.11587481147880746,0.07655076838754328,-0.0188354010593086,0.06449944511747804,0.05379022822377098,0.46291422843933105,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.6908626738377797,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S11,2000,40,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Marginal,0.06559279378814609,0.027765128353883877,0.11587481147880746,0.07655076838754328,-0.05028201769066137,0.09463371238388514,0.0756166427057313,1.613908290863037,RevisedBaselineCensoredSurvivalForest,0.998,0.04791104282206072,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S11,2000,40,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal,0.15124792583536362,0.05439161933975393,0.15233862561614298,0.0626054746523919,-0.0010906997807793304,0.047308326437535894,0.03583187691155314,10.498416423797607,FinalCensoredModel,1.0,0.6814559599832832,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S12,2000,5,2,2,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal Oracle,0.16345240298146557,0.06136652607927549,0.15233862561614298,0.0626054746523919,0.011113777365322635,0.04503680110897721,0.032384561845360635,0.3898732662200928,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.7523006745363782,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S12,2000,5,2,2,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Marginal,0.1658152808961052,0.04409442834408006,0.15233862561614298,0.0626054746523919,0.013476655279962255,0.053331811549248716,0.04220742559448969,1.0620319843292236,RevisedBaselineCensoredSurvivalForest,1.0,0.5797937274028613,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S12,2000,5,2,2,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal,0.17127350573598238,0.05109875712838813,0.15933154142730746,0.05863617735985495,0.011941964308674969,0.04278412806205252,0.03323003139920763,11.490602254867554,FinalCensoredModel,1.0,0.7278154131863626,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S13,2000,5,3,3,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal Oracle,0.17157602380236708,0.05886382532474538,0.15933154142730746,0.05863617735985495,0.012244482375059646,0.03162215979218183,0.02330990605414309,0.38291311264038086,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.8768695381606848,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S13,2000,5,3,3,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Marginal,0.17313056121287645,0.036974877924016235,0.15933154142730746,0.05863617735985495,0.013799019785568984,0.04519995635158896,0.036296423685658684,1.215933084487915,RevisedBaselineCensoredSurvivalForest,1.0,0.6809572372204229,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S13,2000,5,3,3,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal,0.13631014052064439,0.02841138410829186,0.15272590582673046,0.06252904899054916,-0.016415765306086065,0.055927866668836174,0.046477071353052284,14.438974380493164,FinalCensoredModel,1.0,0.5231075891423252,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S14,2000,5,5,5,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal Oracle,0.14593972934534016,0.048009786216958776,0.15272590582673046,0.06252904899054916,-0.006786176481390296,0.037791894855881004,0.030025572917575474,0.4299352169036865,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.8049027838370525,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S14,2000,5,5,5,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Marginal,0.14585406036563256,0.03581303461135723,0.15272590582673046,0.06252904899054916,-0.006871845461097937,0.060964726644821166,0.05126377890790337,1.3504114151000977,RevisedBaselineCensoredSurvivalForest,1.0,0.34004876042772436,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S14,2000,5,5,5,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal,0.1507411344531144,0.03949653384533517,0.15445267224272557,0.06211538267908454,-0.003711537789611201,0.04697621680784885,0.038890239543205106,20.593976259231567,FinalCensoredModel,1.0,0.6573292890173453,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S15,2000,5,10,10,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal Oracle,0.15331395570656006,0.04798542706500932,0.15445267224272557,0.06211538267908454,-0.0011387165361655333,0.038777216843301994,0.030781025644896164,0.5194094181060791,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.7814692125932862,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S15,2000,5,10,10,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Marginal,0.15470225979582825,0.03057588503786437,0.15445267224272557,0.06211538267908454,0.00024958755310267754,0.05260654339033521,0.044701324504094815,1.3330121040344238,RevisedBaselineCensoredSurvivalForest,1.0,0.533325719157416,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S15,2000,5,10,10,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
